index,title,desc,hot,url,image,source,type,datetime
1,工信部：支持孵化载体创新运营模式 探索服务费、租金入股等灵活合作机制,,,http://news.10jqka.com.cn/20260904/c679622098.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
2,每经AI快讯，9月4日，工业和信息化部办公厅印发《人工智能中小企业创业支持计划（2026—2028年）》。其中指出，建强孵化载体拓展创业空间。鼓励各地建设一批人工智能科技型企业孵化器、“模 ...,,,http://news.10jqka.com.cn/20260904/c679622098.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
3,A股盈利好转的覆盖面持续扩大,,,http://news.10jqka.com.cn/20260904/c679622074.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
4,A股盈利周期步入加速上行通道。相关数据显示，2026年二季度全部A股归母净利润同比增长10.5%（TTM口径），营业收入同比提升4.5%；剔除金融板块后，净利润同比增长7.8%，营业收入增长3.9%。利 ...,,,http://news.10jqka.com.cn/20260904/c679622074.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
5,第32次APEC中小企业部长会议发布广州倡议,,,http://news.10jqka.com.cn/20260904/c679622008.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
6,新华社广州9月4日电（记者孟盈如、古一平）第32次亚太经合组织（APEC）中小企业部长会议4日在广州举行。会议发布了《第32次亚太经合组织（APEC）中小企业部长会议主席声明》和《中小企业创 ...,,,http://news.10jqka.com.cn/20260904/c679622008.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
7,“吸金”逾58亿元，主力资金重点布局这一方向,,,http://news.10jqka.com.cn/20260904/c679621794.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
8,9月4日，A股主力资金继续围绕结构性机会展开博弈。行业层面，传媒、农林牧渔行业成为资金流入的主要方向，电子行业资金明显流出。个股层面，传媒股表现活跃，部分算力硬件、半导体及消费电 ...,,,http://news.10jqka.com.cn/20260904/c679621794.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
9,京东超市：个护业务上半年营收同比增长15%,,,http://news.10jqka.com.cn/20260904/c679621780.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
10,人民财讯9月4日电，9月4日，2026京东超市个护行业发展大会在京举行。会上，京东超市披露，今年上半年个护业务收入同比增长15%、用户规模同比增长18%。 ...,,,http://news.10jqka.com.cn/20260904/c679621780.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
11,美国利用G20炒作“经济失衡”论调 商务部：这只会扰乱全球经贸秩序,,,http://news.10jqka.com.cn/20260904/c679621653.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
12,新华社电 在商务部3日举行的新闻发布会上，商务部新闻发言人黄玲就中欧贸易投资磋商、法国实施“反超快时尚”法、美国利用G20炒作所谓“经济失衡”论调等热点问题进行回应。在回应有关中欧 ...,,,http://news.10jqka.com.cn/20260904/c679621653.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
13,中小企业发展“十五五”规划来了！2030年专精特新“小巨人”企业将达2.2万家,,,http://news.10jqka.com.cn/20260904/c679621635.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
14,为持续推动中小企业高质量发展，工业和信息化部会同国家发展改革委、科技部、财政部、人力资源和社会保障部、商务部、中国人民银行、市场监管总局、金融监管总局、中国证监会共十部门近日联 ...,,,http://news.10jqka.com.cn/20260904/c679621635.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
15,“三合一”地方附加税就要来了,,,http://news.10jqka.com.cn/20260904/c679621536.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
16,《中华人民共和国地方附加税法（征求意见稿）》的核心是总体遵循税费制度平移的思路，将现行城市维护建设税、教育费附加、地方教育附加合并为地方附加税。地方附加税税制要素保持基本稳定， ...,,,http://news.10jqka.com.cn/20260904/c679621536.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
17,商务部：敦促法方立即停止实施“反超快时尚”法,,,http://news.10jqka.com.cn/20260904/c679621481.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
18,据新华社电 在商务部3日举行的例行新闻发布会上，商务部新闻发言人黄玲就中欧贸易投资磋商、法国实施“反超快时尚”法、美国利用G20炒作所谓“经济失衡”论调等热点问题进行回应。在回应有 ...,,,http://news.10jqka.com.cn/20260904/c679621481.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
19,中金杭州安居宁巢REIT9月4日获批,,,http://news.10jqka.com.cn/20260904/c679621418.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
20,上证报中国证券网讯(记者梁银妍)上证报记者获悉，中金杭州安居保障性租赁住房封闭式基础设施证券投资基金(下称“中金杭州安居宁巢REIT”)9月4日获得中国证监会的准予注册批复。业内人士表示 ...,,,http://news.10jqka.com.cn/20260904/c679621418.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
21,江波龙：侵害商业秘密纠纷达成和解 法院裁定准许撤诉,,,http://news.10jqka.com.cn/20260904/c679621409.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
22,上证智讯9月4日晚间，江波龙发布公告称，公司于2026年9月2日收到广东省高级人民法院送达的《民事裁定书》((2024)粤民终1226号)。就卢浩、赵迎、深圳市晶存科技股份有限公司(以下简称“晶存 ...,,,http://news.10jqka.com.cn/20260904/c679621409.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
23,巨单回归！122个项目、23.52亿，6个亿元级引爆9-10月双窗口,,,http://news.10jqka.com.cn/20260904/c679621388.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
24,一、整体概况2026年8月26日-9月1日，共梳理出预算金额300万元以上的拟建、拟在建项目122个，涉及全国31个盛自治区、直辖市，项目总金额约23.52亿元，平均单体项目金额1928.16万元，亿元级项 ...,,,http://news.10jqka.com.cn/20260904/c679621388.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
25,百度获纳入“沪港通”， 南向资金量或达470亿港元,,,http://news.10jqka.com.cn/20260904/c679621364.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
26,9月4日，百度集团在香港联交所发布公告称，据上海证券交易所当日发布的通知，百度A类普通股已获纳入沪港通下港股通标的证券，2026年9月7日生效。今日，百度港股盘中一度涨超5.68%，成为恒生 ...,,,http://news.10jqka.com.cn/20260904/c679621364.shtml,,同花顺,今日要闻,2026-09-04 23:55:43
