index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,prompt-eng-interactive-tutorial,Anthropic's Interactive Prompt Engineering Tutorial,CloudsOfChange,Jupyter Notebook,"23,816","2,194","1,700 stars today",https://github.com//anthropics/prompt-eng-interactive-tutorial,GitHub_Jupyter Notebook_daily,2025-10-16 02:41:43
2,minimind,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,jingyaogong,Python,"27,605","3,268",58 stars today,https://github.com//jingyaogong/minimind,GitHub_Python_daily,2025-10-16 02:41:43
3,nitro,Next Generation Server Toolkit. Create web servers with everything you need and deploy them wherever you prefer.,pi0,TypeScript,"8,742",707,306 stars today,https://github.com//nitrojs/nitro,GitHub_TypeScript_daily,2025-10-16 02:41:43
4,langchainjs,🦜🔗 Build context-aware reasoning applications 🦜🔗,jacoblee93,TypeScript,"15,912","2,797",7 stars today,https://github.com//langchain-ai/langchainjs,GitHub_TypeScript_daily,2025-10-16 02:41:43
5,nanoGPT,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",karpathy,Python,"45,743","7,767",299 stars today,https://github.com//karpathy/nanoGPT,GitHub_Python_daily,2025-10-16 02:41:43
6,nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,ljharb,Shell,"87,583","9,420",119 stars today,https://github.com//nvm-sh/nvm,GitHub_Shell_daily,2025-10-16 02:41:43
7,envoy,Cloud-native high-performance edge/middle/service proxy,dependabot,C++,"26,720","5,104",5 stars today,https://github.com//envoyproxy/envoy,GitHub_C++_daily,2025-10-16 02:41:43
8,evolution-api,Evolution API is an open-source WhatsApp integration API,DavidsonGomes,TypeScript,"5,778","4,501",25 stars today,https://github.com//EvolutionAPI/evolution-api,GitHub_TypeScript_daily,2025-10-16 02:41:43
9,waha,"WAHA - WhatsApp HTTP API (REST API) that you can configure in a click! 3 engines: WEBJS (browser based), NOWEB (websocket nodejs), GOWS (websocket go)",devlikepro,TypeScript,"4,592",931,330 stars today,https://github.com//devlikeapro/waha,GitHub_TypeScript_daily,2025-10-16 02:41:43
10,openarm,A fully open-source humanoid arm for physical AI research and deployment in contact-rich environments.,kou,MDX,"1,163",132,97 stars today,https://github.com//enactic/openarm,GitHub_MDX_daily,2025-10-16 02:41:43
11,FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,EdwardLab,HTML,"106,890","2,012",617 stars today,https://github.com//DigitalPlatDev/FreeDomain,GitHub_HTML_daily,2025-10-16 02:41:43
12,boilerplates,"This is my personal template collection. Here you'll find templates, and configurations for various tools, and technologies.",cschug,Python,"6,330","1,767",79 stars today,https://github.com//ChristianLempa/boilerplates,GitHub_Python_daily,2025-10-16 02:41:43
13,spring-ai-alibaba,Agentic AI Framework for Java Developers,chickenlj,Java,"6,366","1,353",113 stars today,https://github.com//alibaba/spring-ai-alibaba,GitHub_Java_daily,2025-10-16 02:41:43
14,Prompt-Engineering-Guide,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering",omarsar,MDX,"63,919","6,671",338 stars today,https://github.com//dair-ai/Prompt-Engineering-Guide,GitHub_MDX_daily,2025-10-16 02:41:43
15,nanobrowser,Open-Source Chrome extension for AI-powered web automation. Run multi-agent workflows using your own LLM API key. Alternative to OpenAI Operator.,alexchenzl,TypeScript,"10,107","1,024",35 stars today,https://github.com//nanobrowser/nanobrowser,GitHub_TypeScript_daily,2025-10-16 02:41:43
16,n8n-mcp,A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you,czlonkowski,TypeScript,"8,469","1,602",89 stars today,https://github.com//czlonkowski/n8n-mcp,GitHub_TypeScript_daily,2025-10-16 02:41:43
17,whatsmeow,Go library for the WhatsApp web multidevice API,tulir,Go,"4,508",710,3 stars today,https://github.com//tulir/whatsmeow,GitHub_Go_daily,2025-10-16 02:41:43
1,prompt-eng-interactive-tutorial,Anthropic's Interactive Prompt Engineering Tutorial,CloudsOfChange,Jupyter Notebook,"23,816","2,194","3,502 stars this week",https://github.com//anthropics/prompt-eng-interactive-tutorial,GitHub_Jupyter Notebook_weekly,2025-10-16 02:41:43
2,stremio-web,Stremio - Freedom to Stream,nklhtv,JavaScript,"8,047",895,"4,987 stars this week",https://github.com//Stremio/stremio-web,GitHub_JavaScript_weekly,2025-10-16 02:41:43
3,claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",actions-user,TypeScript,"39,005","2,457","3,247 stars this week",https://github.com//anthropics/claude-code,GitHub_TypeScript_weekly,2025-10-16 02:41:43
4,evershop,🛍️ Typescript E-commerce Platform,treoden,TypeScript,"7,551","1,911","1,718 stars this week",https://github.com//evershopcommerce/evershop,GitHub_TypeScript_weekly,2025-10-16 02:41:43
5,claude-code-templates,CLI tool for configuring and monitoring Claude Code,davila7,JavaScript,"8,249",692,"1,329 stars this week",https://github.com//davila7/claude-code-templates,GitHub_JavaScript_weekly,2025-10-16 02:41:43
6,supermemory,"Memory engine and app that is extremely fast, scalable. The Memory API for the AI era.",Dhravya,TypeScript,"12,043","1,274",904 stars this week,https://github.com//supermemoryai/supermemory,GitHub_TypeScript_weekly,2025-10-16 02:41:43
7,SurfSense,"Open Source Alternative to NotebookLM / Perplexity, connected to external sources such as Search Engines, Slack, Linear, Jira, ClickUp, Confluence, Notion, YouTube, GitHub, Discord and more. Join our discord: https://discord.gg/ejRNvftDp9",MODSetter,Python,"9,715",764,"1,245 stars this week",https://github.com//MODSetter/SurfSense,GitHub_Python_weekly,2025-10-16 02:41:43
8,ChinaTextbook,所有小初高、大学PDF教材。,TapXWorld,Roff,"53,505","11,996","2,329 stars this week",https://github.com//TapXWorld/ChinaTextbook,GitHub_Roff_weekly,2025-10-16 02:41:43
9,winboat,Run Windows apps on 🐧 Linux with ✨ seamless integration,TibixDev,TypeScript,"11,468",289,"4,989 stars this week",https://github.com//TibixDev/winboat,GitHub_TypeScript_weekly,2025-10-16 02:41:43
10,TradingAgents-CN,基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版,hsliuping,Python,"10,624","2,313","1,027 stars this week",https://github.com//hsliuping/TradingAgents-CN,GitHub_Python_weekly,2025-10-16 02:41:43
11,bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Jarred-Sumner,Zig,"81,452","3,410",677 stars this week,https://github.com//oven-sh/bun,GitHub_Zig_weekly,2025-10-16 02:41:43
12,changedetection.io,"Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan!",dgtlmoon,Python,"27,999","1,554",676 stars this week,https://github.com//dgtlmoon/changedetection.io,GitHub_Python_weekly,2025-10-16 02:41:43
13,nitro,Next Generation Server Toolkit. Create web servers with everything you need and deploy them wherever you prefer.,pi0,TypeScript,"8,742",707,626 stars this week,https://github.com//nitrojs/nitro,GitHub_TypeScript_weekly,2025-10-16 02:41:43
